1,2025-03-22T00:31:20.604580,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:31:20.604585,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:31:20.604588,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:31:20.604591,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:31:20.604594,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:36:40.972606,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:36:40.972616,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:36:40.972621,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:36:40.972625,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:36:40.972628,AG-001,0,0,"(0,0,0)",
1,2025-03-22T00:36:40.972635,AG-001,0,0,"(0,0,0)",
1,2025-03-22T01:02:05.034657,AG-001,0,0,"(0,0,0)",
1,2025-03-22T01:02:05.034664,AG-001,0,0,"(0,0,0)",
1,2025-03-22T01:02:05.034669,AG-001,0,0,"(0,0,0)",
1,2025-03-22T01:02:05.034672,AG-001,0,0,"(0,0,0)",
1,2025-03-22T01:02:05.034675,AG-001,0,0,"(0,0,0)",
1,2025-03-22T01:02:05.034678,AG-001,0,0,"(0,0,0)",
