"Country","Date Month","Client","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Afghanistan","Aug-2024","Canela",6,6.416666666666667,1.0694444444444444,11
"Afghanistan","Dec-2024","Canela",22,5.449999999999999,0.24772727272727274,24
"Afghanistan","Jan-2025","Canela",11,24.850000000000005,2.2590909090909093,41
"Afghanistan","Nov-2024","Canela",17,5.383333333333332,0.3166666666666667,29
"Afghanistan","Oct-2024","Canela",11,2.6833333333333336,0.24393939393939393,13
"Afghanistan","Sep-2024","Canela",11,1.4166666666666667,0.12878787878787878,12
"Albania","Aug-2024","Canela",76,47.56666666666666,0.6258771929824561,111
"Albania","Dec-2024","Canela",165,973.7833333333344,5.901717171717172,668
"Albania","Jan-2025","Canela",122,349.93333333333425,2.8683060109289618,369
"Albania","Nov-2024","Canela",153,796.4166666666672,5.205337690631808,644
"Albania","Oct-2024","Canela",171,740.4833333333343,4.330311890838207,598
"Albania","Sep-2024","Canela",127,556.4666666666672,4.381627296587927,377
"Algeria","Aug-2024","Canela",644,671.6666666666657,1.0429606625258798,906
"Algeria","Dec-2024","Canela",2318,2044.6333333332905,0.8820678746045442,3825
"Algeria","Jan-2025","Canela",2109,2559.9999999999964,1.2138454243717403,3383
"Algeria","Nov-2024","Canela",2228,1727.9999999999638,0.7755834829443446,3435
"Algeria","Oct-2024","Canela",2136,2193.799999999972,1.027059925093633,3289
"Algeria","Sep-2024","Canela",1455,2355.6166666666613,1.6189805269186712,2609
"Andorra","Aug-2024","Canela",3,0.38333333333333336,0.1277777777777778,3
"Andorra","Dec-2024","Canela",9,109.43333333333334,12.15925925925926,12
"Andorra","Jan-2025","Canela",1,0.05,0.05,1
"Andorra","Nov-2024","Canela",13,34.38333333333333,2.644871794871795,36
"Andorra","Oct-2024","Canela",21,8.566666666666666,0.40793650793650793,30
"Andorra","Sep-2024","Canela",10,7.3999999999999995,0.74,16
"Angola","Aug-2024","Canela",75,156.86666666666653,2.091555555555556,116
"Angola","Dec-2024","Canela",202,1571.4666666666642,7.77953795379538,295
"Angola","Jan-2025","Canela",186,752.25,4.044354838709677,277
"Angola","Nov-2024","Canela",239,431.06666666666655,1.803626220362622,340
"Angola","Oct-2024","Canela",328,1050.75,3.2035060975609757,428
"Angola","Sep-2024","Canela",305,1163.6500000000003,3.8152459016393445,465
"Anguilla","Dec-2024","Canela",1,0.21666666666666667,0.21666666666666667,1
"Anguilla","Nov-2024","Canela",1,0.16666666666666666,0.16666666666666666,1
"Anguilla","Sep-2024","Canela",5,0.9333333333333333,0.18666666666666668,5
"Antigua and Barbuda","Aug-2024","Canela",18,123.96666666666663,6.887037037037037,32
"Antigua and Barbuda","Dec-2024","Canela",6,4.733333333333333,0.7888888888888889,10
"Antigua and Barbuda","Jan-2025","Canela",7,2.0833333333333335,0.2976190476190476,7
"Antigua and Barbuda","Nov-2024","Canela",12,27.65,2.3041666666666667,15
"Antigua and Barbuda","Oct-2024","Canela",17,2.7500000000000004,0.16176470588235295,21
"Antigua and Barbuda","Sep-2024","Canela",19,9.533333333333333,0.5017543859649123,23
"Argentina","Aug-2024","Canela",53719,587404.8166665685,10.934768269451528,171516
"Argentina","Dec-2024","Canela",46119,566712.9666664962,12.288058428558006,129583
"Argentina","Jan-2025","Canela",43034,532075.6666664553,12.364076466669765,115721
"Argentina","Nov-2024","Canela",60533,1072814.950000454,17.722811524292535,186231
"Argentina","Oct-2024","Canela",72726,1198977.2833338291,16.486226154791044,242705
"Argentina","Sep-2024","Canela",71622,1007947.0500004801,14.073148613554496,229796
"Armenia","Aug-2024","Canela",9,10.983333333333333,1.2203703703703703,14
"Armenia","Dec-2024","Canela",27,24.550000000000008,0.9092592592592593,75
"Armenia","Jan-2025","Canela",35,30.833333333333332,0.8809523809523809,87
"Armenia","Nov-2024","Canela",34,74.6499999999999,2.195588235294118,112
"Armenia","Oct-2024","Canela",37,27.550000000000004,0.7445945945945946,85
"Armenia","Sep-2024","Canela",17,13.683333333333339,0.8049019607843138,55
"Aruba","Aug-2024","Canela",15,26.71666666666667,1.781111111111111,21
"Aruba","Dec-2024","Canela",28,2463.3166666666652,87.97559523809524,85
"Aruba","Jan-2025","Canela",18,91.28333333333335,5.071296296296296,33
"Aruba","Nov-2024","Canela",42,134.84999999999997,3.2107142857142854,54
"Aruba","Oct-2024","Canela",52,3163.8500000000004,60.84326923076923,87
"Aruba","Sep-2024","Canela",48,4813.400000000002,100.27916666666665,106
"Australia","Aug-2024","Canela",781,5150.250000000005,6.594430217669654,1997
"Australia","Dec-2024","Canela",275,2131.3333333333317,7.750303030303031,428
"Australia","Jan-2025","Canela",247,968.9666666666664,3.9229419703103914,569
"Australia","Nov-2024","Canela",811,2376.216666666663,2.9299835593916974,1166
"Australia","Oct-2024","Canela",1035,5184.0333333333565,5.008727858293076,2020
"Australia","Sep-2024","Canela",866,3369.983333333355,3.8914357197844494,1913
"Austria","Aug-2024","Canela",35,305.70000000000005,8.734285714285713,52
"Austria","Dec-2024","Canela",85,281.51666666666677,3.311960784313725,159
"Austria","Jan-2025","Canela",73,38.183333333333316,0.5230593607305936,131
"Austria","Nov-2024","Canela",104,172.1166666666668,1.6549679487179487,297
"Austria","Oct-2024","Canela",113,416.96666666666704,3.6899705014749262,209
"Austria","Sep-2024","Canela",81,213.13333333333333,2.631275720164609,128
"Azerbaijan","Aug-2024","Canela",41,19.750000000000004,0.4817073170731707,76
"Azerbaijan","Dec-2024","Canela",186,728.533333333334,3.9168458781362006,331
