"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Canela","Afghanistan","Apr-2024",32,13.383333333333336,0.41822916666666665,35
"Canela","Albania","Apr-2024",43,30.550000000000008,0.7104651162790698,74
"Canela","Algeria","Apr-2024",977,1769.09999999999,1.8107471852610029,2045
"Canela","American Samoa","Apr-2024",1,0,0,1
"Canela","Andorra","Apr-2024",13,50.4,3.876923076923077,15
"Canela","Angola","Apr-2024",187,585.4666666666665,3.130837789661319,295
"Canela","Anguilla","Apr-2024",3,24.683333333333334,8.227777777777778,9
"Canela","Antigua and Barbuda","Apr-2024",4,8.75,2.1875,4
"Canela","Argentina","Apr-2024",27758,455358.36666662403,16.404581261858443,106327
"Canela","Armenia","Apr-2024",8,3.233333333333334,0.4041666666666667,10
"Canela","Aruba","Apr-2024",31,120.11666666666666,3.8747311827956987,37
"Canela","Australia","Apr-2024",235,595.3666666666671,2.5334751773049646,327
"Canela","Austria","Apr-2024",39,84.51666666666665,2.167094017094017,51
"Canela","Azerbaijan","Apr-2024",23,22.266666666666676,0.9681159420289854,44
"Canela","Bahamas","Apr-2024",14,33.4,2.3857142857142857,22
"Canela","Bahrain","Apr-2024",13,17.866666666666667,1.3743589743589744,28
"Canela","Bangladesh","Apr-2024",244,386.75000000000006,1.5850409836065573,420
"Canela","Barbados","Apr-2024",30,25.86666666666667,0.8622222222222222,38
"Canela","Belarus","Apr-2024",9,6.016666666666667,0.6685185185185185,14
"Canela","Belgium","Apr-2024",99,656.2499999999999,6.628787878787879,266
"Canela","Belize","Apr-2024",152,42178.533333333326,277.49035087719295,511
"Canela","Benin","Apr-2024",12,5.250000000000001,0.4375,14
"Canela","Bermuda","Apr-2024",2,0.6000000000000001,0.3,4
"Canela","Bolivia","Apr-2024",10377,193399.95000000088,18.6373662908355,42330
"Canela","Bosnia and Herzegovina","Apr-2024",12,15.116666666666667,1.2597222222222222,17
"Canela","Botswana","Apr-2024",5,2.3833333333333337,0.4766666666666667,5
"Canela","Brazil","Apr-2024",3894,66242.66666666759,17.011470638589284,6520
"Canela","British Virgin Islands","Apr-2024",5,1452.9666666666667,290.59333333333336,14
"Canela","Brunei","Apr-2024",9,77.53333333333333,8.614814814814814,10
"Canela","Bulgaria","Apr-2024",86,242.56666666666678,2.8205426356589145,250
"Canela","Burkina Faso","Apr-2024",25,23.883333333333333,0.9553333333333334,37
"Canela","Burundi","Apr-2024",5,1.1166666666666667,0.22333333333333333,5
"Canela","Cambodia","Apr-2024",17,3452.4166666666683,203.08333333333331,238
"Canela","Cameroon","Apr-2024",29,1471.6666666666663,50.74712643678161,43
"Canela","Canada","Apr-2024",1118,369616.8499999979,330.60541144901606,4616
"Canela","Cape Verde","Apr-2024",12,21.666666666666668,1.8055555555555556,32
"Canela","Caribbean Netherlands","Apr-2024",3,6.283333333333333,2.0944444444444446,3
"Canela","Cayman Islands","Apr-2024",5,115.08333333333331,23.016666666666666,7
"Canela","Chad","Apr-2024",6,0.8666666666666667,0.14444444444444446,6
"Canela","Chile","Apr-2024",23941,371779.7166666399,15.52899697868371,82160
"Canela","China","Apr-2024",1454,44589.80000000009,30.666987620357634,2422
"Canela","Colombia","Apr-2024",368044,3200550.166665952,8.696107440052456,1298713
"Canela","Comoros","Apr-2024",1,0.7999999999999999,0.8,2
"Canela","Congo - Brazzaville","Apr-2024",33,76.4833333333333,2.3176767676767676,68
"Canela","Congo - Kinshasa","Apr-2024",114,254.38333333333347,2.2314327485380114,223
"Canela","Costa Rica","Apr-2024",8138,92308.60000000225,11.342909805849104,27203
"Canela","Croatia","Apr-2024",28,88.56666666666665,3.163095238095238,50
"Canela","Cuba","Apr-2024",4462,33344.633333333004,7.473024054982817,12507
"Canela","Curaçao","Apr-2024",34,1343.9833333333336,39.52892156862745,104
"Canela","Cyprus","Apr-2024",9,74.4833333333333,8.275925925925925,19
"Canela","Czech Republic","Apr-2024",93,250.44999999999993,2.693010752688172,205
"Canela","Côte d’Ivoire","Apr-2024",111,407.7166666666668,3.6731231231231227,184
"Canela","Denmark","Apr-2024",58,193.95000000000007,3.343965517241379,94
"Canela","Djibouti","Apr-2024",9,4.733333333333334,0.5259259259259259,11
"Canela","Dominica","Apr-2024",1,0,0,1
"Canela","Dominican Republic","Apr-2024",17854,274254.11666665477,15.360934057727492,78657
"Canela","Ecuador","Apr-2024",26626,948648.2000000683,35.62864117779614,120685
"Canela","Egypt","Apr-2024",320,577.9166666666672,1.8059895833333333,528
"Canela","El Salvador","Apr-2024",8545,139043.98333333465,16.27196996294129,38064
"Canela","Equatorial Guinea","Apr-2024",11,74.66666666666667,6.787878787878788,15
"Canela","Estonia","Apr-2024",8,2.1,0.2625,7
"Canela","Ethiopia","Apr-2024",140,218.48333333333338,1.560595238095238,198
"Canela","Fiji","Apr-2024",2,0.9333333333333333,0.4666666666666667,2
"Canela","Finland","Apr-2024",153,407.9166666666671,2.6661220043572986,252
"Canela","France","Apr-2024",575,171300.3666666665,297.9136811594203,1589
"Canela","French Guiana","Apr-2024",2,0.35,0.175,2
"Canela","Gabon","Apr-2024",36,39.5,1.0972222222222223,60
"Canela","Gambia","Apr-2024",9,9.899999999999999,1.1,14
"Canela","Georgia","Apr-2024",27,9.166666666666666,0.3395061728395061,41
"Canela","Germany","Apr-2024",2461,87562.11666666772,35.57989299742652,9600
"Canela","Ghana","Apr-2024",78,160.44999999999996,2.057051282051282,111
"Canela","Greece","Apr-2024",119,75.39999999999998,0.6336134453781513,200
