"Country","Date Month","Rights Holder","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Bermuda","Sep-2024","9story",1,0.03333333333333333,0.03333333333333333,1
"Bolivia","Aug-2024","9story",137,1069.2333333333331,7.804622871046229,192
"Bolivia","Dec-2024","9story",36,531.8666666666667,14.774074074074074,82
"Bolivia","Jan-2025","9story",44,193.6333333333334,4.400757575757575,65
"Bolivia","Nov-2024","9story",91,740.6333333333331,8.138827838827838,185
"Bolivia","Oct-2024","9story",154,1018.633333333334,6.614502164502165,251
"Bolivia","Sep-2024","9story",167,1620.199999999999,9.701796407185629,277
"Bosnia and Herzegovina","Nov-2024","9story",1,0.03333333333333333,0.03333333333333333,1
"Bosnia and Herzegovina","Oct-2024","9story",1,0.5666666666666667,0.5666666666666667,1
"Bosnia and Herzegovina","Sep-2024","9story",1,0.13333333333333333,0.13333333333333333,1
"Brazil","Aug-2024","9story",113,827.7166666666666,7.324926253687316,193
"Brazil","Dec-2024","9story",222,9835.466666666613,44.30390390390391,3016
"Brazil","Jan-2025","9story",157,8473.249999999938,53.96974522292994,3077
"Brazil","Nov-2024","9story",226,10491.483333333295,46.42249262536873,1994
"Brazil","Oct-2024","9story",118,8268.883333333335,70.0752824858757,732
"Brazil","Sep-2024","9story",72,1391.6666666666663,19.328703703703706,182
"British Virgin Islands","Sep-2024","9story",1,0.7,0.7,1
"Brunei","Nov-2024","9story",1,12,12,1
"Bulgaria","Aug-2024","9story",2,0.31666666666666665,0.15833333333333333,4
"Bulgaria","Dec-2024","9story",5,0.5166666666666666,0.10333333333333335,5
"Bulgaria","Jan-2025","9story",5,0.6500000000000001,0.13,5
"Bulgaria","Nov-2024","9story",5,0.45,0.09,6
"Bulgaria","Oct-2024","9story",8,2.25,0.28125,9
"Bulgaria","Sep-2024","9story",5,0.55,0.11000000000000001,9
"Burkina Faso","Aug-2024","9story",1,0.05,0.05,1
"Burkina Faso","Sep-2024","9story",1,0.03333333333333333,0.03333333333333333,1
"Cambodia","Dec-2024","9story",1,3.0833333333333335,3.0833333333333335,1
"Cambodia","Nov-2024","9story",1,0.11666666666666667,0.11666666666666667,1
"Cameroon","Dec-2024","9story",1,0.7333333333333333,0.7333333333333333,1
"Cameroon","Oct-2024","9story",1,0.03333333333333333,0.03333333333333333,1
"Canada","Aug-2024","9story",27,402.6499999999999,14.912962962962963,51
"Canada","Dec-2024","9story",16,1.083333333333334,0.06770833333333333,42
"Canada","Jan-2025","9story",23,31.083333333333336,1.3514492753623188,40
"Canada","Nov-2024","9story",15,29.433333333333323,1.9622222222222223,41
"Canada","Oct-2024","9story",26,18.48333333333333,0.7108974358974359,77
"Canada","Sep-2024","9story",29,57.13333333333334,1.9701149425287356,83
"Cayman Islands","Aug-2024","9story",1,0.03333333333333333,0.03333333333333333,1
"Cayman Islands","Oct-2024","9story",2,0.03333333333333333,0.016666666666666666,2
"Chile","Aug-2024","9story",209,1015.2666666666661,4.8577352472089315,279
"Chile","Dec-2024","9story",49,97.71666666666664,1.99421768707483,60
"Chile","Jan-2025","9story",48,78.54999999999997,1.6364583333333333,60
"Chile","Nov-2024","9story",110,1017.966666666667,9.254242424242424,169
"Chile","Oct-2024","9story",238,1680.8499999999997,7.062394957983193,359
"Chile","Sep-2024","9story",235,1086.049999999999,4.621489361702127,345
"China","Aug-2024","9story",16,4.216666666666667,0.2635416666666667,24
"China","Dec-2024","9story",29,9.333333333333341,0.3218390804597701,38
"China","Jan-2025","9story",23,5.699999999999999,0.24782608695652175,33
