"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Canela","Albania","Apr-2024",18,19.100000000000005,1.0611111111111111,35
"Canela","Algeria","Apr-2024",405,267.0833333333338,0.6594650205761317,588
"Canela","Andorra","Apr-2024",3,4.916666666666667,1.638888888888889,5
"Canela","Angola","Apr-2024",33,64.81666666666665,1.964141414141414,43
"Canela","Anguilla","Apr-2024",1,0.16666666666666666,0.16666666666666666,1
"Canela","Antigua and Barbuda","Apr-2024",1,3.85,3.85,1
"Canela","Argentina","Apr-2024",15351,189377.64999999784,12.336502507979937,57547
"Canela","Armenia","Apr-2024",2,0.13333333333333333,0.06666666666666667,2
"Canela","Aruba","Apr-2024",4,0.6333333333333334,0.15833333333333333,5
"Canela","Australia","Apr-2024",133,306.15000000000015,2.3018796992481203,169
"Canela","Austria","Apr-2024",9,1.7,0.18888888888888888,10
"Canela","Azerbaijan","Apr-2024",12,4.166666666666666,0.34722222222222227,23
"Canela","Bahamas","Apr-2024",2,1.9666666666666668,0.9833333333333333,2
"Canela","Bahrain","Apr-2024",3,1.6833333333333333,0.5611111111111111,5
"Canela","Bangladesh","Apr-2024",71,96.39999999999999,1.3577464788732396,131
"Canela","Barbados","Apr-2024",12,5.383333333333333,0.4486111111111111,13
"Canela","Belarus","Apr-2024",4,1.4,0.35,4
"Canela","Belgium","Apr-2024",45,279.0166666666667,6.20037037037037,151
"Canela","Belize","Apr-2024",44,6092.949999999999,138.47613636363636,112
"Canela","Bolivia","Apr-2024",5650,84906.10000000127,15.027628318584071,22242
"Canela","Bosnia and Herzegovina","Apr-2024",6,0.9666666666666668,0.16111111111111112,7
"Canela","Botswana","Apr-2024",2,0.8500000000000001,0.425,2
"Canela","Brazil","Apr-2024",2613,33467.86666666635,12.80821533358847,4055
"Canela","British Virgin Islands","Apr-2024",2,1033.5833333333335,516.7916666666666,5
"Canela","Brunei","Apr-2024",5,65.75,13.15,5
"Canela","Bulgaria","Apr-2024",29,16.166666666666668,0.5574712643678161,89
"Canela","Burkina Faso","Apr-2024",2,1.0833333333333335,0.5416666666666666,3
"Canela","Cambodia","Apr-2024",10,1722.8499999999997,172.285,84
"Canela","Cameroon","Apr-2024",2,1434.3833333333332,717.1916666666667,6
"Canela","Canada","Apr-2024",447,196361.9499999997,439.2884787472036,2408
"Canela","Cape Verde","Apr-2024",1,0.15,0.15,2
"Canela","Chile","Apr-2024",11730,139560.86666666815,11.897772094344985,39518
"Canela","China","Apr-2024",729,42941.20000000004,58.90425240054869,1154
"Canela","Colombia","Apr-2024",215808,1473630.1833338884,6.828431676922697,768400
"Canela","Congo - Brazzaville","Apr-2024",4,1.4666666666666666,0.36666666666666664,4
"Canela","Congo - Kinshasa","Apr-2024",4,2.783333333333333,0.6958333333333333,4
"Canela","Costa Rica","Apr-2024",4067,31150.666666666162,7.659372182607983,12884
"Canela","Croatia","Apr-2024",10,5.716666666666667,0.5716666666666667,12
"Canela","Cuba","Apr-2024",2250,10924.216666666645,4.855207407407407,6357
"Canela","Curaçao","Apr-2024",7,17.633333333333336,2.519047619047619,17
"Canela","Czech Republic","Apr-2024",33,66.48333333333332,2.014646464646465,71
"Canela","Côte d’Ivoire","Apr-2024",7,4.716666666666667,0.6738095238095239,8
"Canela","Denmark","Apr-2024",11,11.566666666666666,1.0515151515151515,16
"Canela","Djibouti","Apr-2024",3,1.8,0.6,3
"Canela","Dominican Republic","Apr-2024",9634,103893.53333333526,10.784049546744171,40155
"Canela","Ecuador","Apr-2024",13943,393569.1333333122,28.22700518778838,59117
"Canela","Egypt","Apr-2024",132,174.66666666666663,1.323232323232323,207
"Canela","El Salvador","Apr-2024",4382,50964.86666666729,11.63050357523201,17404
"Canela","Ethiopia","Apr-2024",7,5.666666666666667,0.8095238095238095,7
"Canela","Finland","Apr-2024",25,25.250000000000014,1.01,60
"Canela","France","Apr-2024",205,57016.2333333334,278.1279674796748,548
"Canela","Gabon","Apr-2024",4,1.1333333333333333,0.2833333333333333,4
"Canela","Georgia","Apr-2024",3,0.44999999999999996,0.15,7
"Canela","Germany","Apr-2024",466,48582.316666667124,104.25389842632332,3370
"Canela","Ghana","Apr-2024",8,9.583333333333332,1.1979166666666667,9
"Canela","Greece","Apr-2024",56,37.11666666666665,0.662797619047619,99
"Canela","Grenada","Apr-2024",2,30.783333333333335,15.391666666666667,2
"Canela","Guatemala","Apr-2024",4926,43399.500000000335,8.810292326431181,17561
"Canela","Guinea","Apr-2024",1,0.7833333333333333,0.7833333333333333,1
"Canela","Guyana","Apr-2024",1,0.85,0.85,1
"Canela","Haiti","Apr-2024",3,0.6833333333333333,0.22777777777777777,3
"Canela","Honduras","Apr-2024",3517,41619.516666666845,11.83381196095157,16192
"Canela","Hong Kong","Apr-2024",43,2548.8333333333308,59.275193798449614,253
"Canela","Hungary","Apr-2024",10,184.4,18.44,15
"Canela","India","Apr-2024",249,453.5833333333341,1.821619812583668,408
"Canela","Indonesia","Apr-2024",243,601.9666666666667,2.477229080932785,334
"Canela","Iran","Apr-2024",378,723.883333333333,1.9150352733686067,489
"Canela","Iraq","Apr-2024",159,168.79999999999993,1.0616352201257861,258
"Canela","Ireland","Apr-2024",17,4.933333333333334,0.2901960784313726,27
"Canela","Israel","Apr-2024",41,34.6,0.8439024390243903,69
"Canela","Italy","Apr-2024",174,289.66666666666737,1.6647509578544062,397
"Canela","Jamaica","Apr-2024",11,50.516666666666666,4.592424242424243,20
"Canela","Japan","Apr-2024",47,7806.6499999999905,166.09893617021277,5030
