"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Peru","Sep-2024","Ad / Placeholder Slate",5249,9830.666666666677,1.8728646726360576,6802
"Philippines","Aug-2024","Ad / Placeholder Slate",3,1.2666666666666666,0.4222222222222222,3
"Philippines","Dec-2024","Ad / Placeholder Slate",2,0.6166666666666667,0.30833333333333335,2
"Philippines","Jan-2025","Ad / Placeholder Slate",5,0.7666666666666667,0.15333333333333335,5
"Philippines","Nov-2024","Ad / Placeholder Slate",3,12.933333333333334,4.311111111111111,4
"Philippines","Oct-2024","Ad / Placeholder Slate",1,1,1,1
"Philippines","Sep-2024","Ad / Placeholder Slate",2,4.15,2.075,2
"Poland","Dec-2024","Ad / Placeholder Slate",1,662,662,120
"Poland","Jan-2025","Ad / Placeholder Slate",4,624.2333333333333,156.05833333333334,128
"Poland","Nov-2024","Ad / Placeholder Slate",2,53.8,26.9,11
"Poland","Oct-2024","Ad / Placeholder Slate",3,1.2833333333333332,0.4277777777777778,3
"Poland","Sep-2024","Ad / Placeholder Slate",3,0.2,0.06666666666666667,3
"Portugal","Aug-2024","Ad / Placeholder Slate",4,4.866666666666666,1.2166666666666666,5
"Portugal","Dec-2024","Ad / Placeholder Slate",6,650.0333333333334,108.33888888888889,135
"Portugal","Jan-2025","Ad / Placeholder Slate",4,525.0833333333334,131.27083333333334,123
"Portugal","Nov-2024","Ad / Placeholder Slate",11,686.0333333333333,62.36666666666667,141
"Portugal","Oct-2024","Ad / Placeholder Slate",5,325.4166666666667,65.08333333333334,85
"Portugal","Sep-2024","Ad / Placeholder Slate",3,124.63333333333333,41.544444444444444,36
"Puerto Rico","Aug-2024","Ad / Placeholder Slate",966,2322.4000000000005,2.4041407867494824,1405
"Puerto Rico","Dec-2024","Ad / Placeholder Slate",186,582.3,3.1306451612903223,317
"Puerto Rico","Jan-2025","Ad / Placeholder Slate",105,254.78333333333327,2.4265079365079365,167
"Puerto Rico","Nov-2024","Ad / Placeholder Slate",726,1737.8333333333326,2.393709825528007,1061
"Puerto Rico","Oct-2024","Ad / Placeholder Slate",1232,3061.366666666671,2.4848755411255414,1821
"Puerto Rico","Sep-2024","Ad / Placeholder Slate",1055,2473.966666666664,2.344992101105845,1496
"Qatar","Sep-2024","Ad / Placeholder Slate",1,1,1,1
"Romania","Aug-2024","Ad / Placeholder Slate",2,795.1666666666666,397.5833333333333,206
"Romania","Dec-2024","Ad / Placeholder Slate",2,682.0166666666667,341.0083333333333,142
"Romania","Jan-2025","Ad / Placeholder Slate",5,569.5166666666667,113.90333333333334,127
"Romania","Nov-2024","Ad / Placeholder Slate",4,691.7833333333333,172.94583333333333,155
"Romania","Oct-2024","Ad / Placeholder Slate",4,846.7499999999999,211.6875,231
"Romania","Sep-2024","Ad / Placeholder Slate",5,935.2166666666667,187.04333333333335,244
"Russia","Aug-2024","Ad / Placeholder Slate",3,10.116666666666667,3.3722222222222222,3
"Russia","Dec-2024","Ad / Placeholder Slate",6,5.4833333333333325,0.9138888888888889,7
"Russia","Jan-2025","Ad / Placeholder Slate",4,3.016666666666667,0.7541666666666667,5
"Russia","Nov-2024","Ad / Placeholder Slate",2,1.1,0.55,2
"Russia","Oct-2024","Ad / Placeholder Slate",4,1.3,0.325,4
"Russia","Sep-2024","Ad / Placeholder Slate",10,14.299999999999999,1.4300000000000002,10
"Saudi Arabia","Aug-2024","Ad / Placeholder Slate",4,1.25,0.3125,4
"Saudi Arabia","Dec-2024","Ad / Placeholder Slate",5,0.8666666666666668,0.17333333333333334,5
"Saudi Arabia","Jan-2025","Ad / Placeholder Slate",5,3.35,0.67,5
"Saudi Arabia","Nov-2024","Ad / Placeholder Slate",5,2.066666666666667,0.4133333333333334,5
"Saudi Arabia","Oct-2024","Ad / Placeholder Slate",4,6.533333333333333,1.6333333333333333,5
"Saudi Arabia","Sep-2024","Ad / Placeholder Slate",3,10.166666666666668,3.388888888888889,3
"Senegal","Jan-2025","Ad / Placeholder Slate",1,1,1,1
"Serbia","Jan-2025","Ad / Placeholder Slate",1,0.05,0.05,1
