"Country","Date Month","Client","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Slovakia","Feb-2024","Canela",19,3.9,0.20526315789473684,3,28
"Slovakia","Jan-2024","Canela",7,84.98333333333333,12.14047619047619,2,11
"Slovakia","Jan-2025","Canela",3,0,0,0,7
"Slovakia","Jul-2024","Canela",23,0,0,0,33
"Slovakia","Jun-2024","Canela",15,0.95,0.06333333333333332,2,17
"Slovakia","Mar-2024","Canela",13,0.9666666666666667,0.07435897435897436,1,20
"Slovakia","May-2024","Canela",12,24.7,2.058333333333333,2,18
"Slovakia","Nov-2024","Canela",1,0,0,0,2
"Slovakia","Oct-2024","Canela",28,0,0,0,37
"Slovakia","Sep-2024","Canela",26,0,0,0,36
"Slovenia","Apr-2024","Canela",9,0,0,1,9
"Slovenia","Aug-2024","Canela",19,0,0,0,22
"Slovenia","Dec-2024","Canela",1,0,0,0,1
"Slovenia","Feb-2024","Canela",12,0.13333333333333333,0.011111111111111112,1,22
"Slovenia","Jan-2024","Canela",12,0,0,0,18
"Slovenia","Jan-2025","Canela",1,0,0,0,2
"Slovenia","Jul-2024","Canela",19,0,0,0,23
"Slovenia","Jun-2024","Canela",58,0,0,0,78
"Slovenia","Mar-2024","Canela",10,0,0,0,12
"Slovenia","May-2024","Canela",13,0,0,0,16
"Slovenia","Nov-2024","Canela",7,0,0,0,7
"Slovenia","Oct-2024","Canela",19,0,0,0,23
"Slovenia","Sep-2024","Canela",13,0,0,0,17
"Solomon Islands","Jul-2024","Canela",1,0,0,0,1
"Solomon Islands","Jun-2024","Canela",1,0,0,0,2
"Somalia","Apr-2024","Canela",104,10.016666666666667,0.09631410256410257,8,307
"Somalia","Aug-2024","Canela",135,0,0,0,346
"Somalia","Dec-2024","Canela",7,0,0,0,10
"Somalia","Feb-2024","Canela",65,80.93333333333334,1.245128205128205,23,203
"Somalia","Jan-2024","Canela",14,1.25,0.08928571428571429,3,41
"Somalia","Jan-2025","Canela",3,0,0,0,3
"Somalia","Jul-2024","Canela",128,0.016666666666666666,0.00013020833333333333,2,332
"Somalia","Jun-2024","Canela",124,4.783333333333333,0.0385752688172043,8,313
"Somalia","Mar-2024","Canela",24,0,0,3,49
"Somalia","May-2024","Canela",82,0.48333333333333334,0.005894308943089431,3,240
"Somalia","Nov-2024","Canela",15,0,0,0,18
"Somalia","Oct-2024","Canela",44,0,0,0,105
"Somalia","Sep-2024","Canela",30,0,0,1,47
"South Africa","Apr-2024","Canela",93,701.2666666666667,7.5405017921146955,17,149
"South Africa","Aug-2024","Canela",124,140.73333333333332,1.1349462365591396,3,193
"South Africa","Dec-2024","Canela",26,0,0,0,41
"South Africa","Feb-2024","Canela",48,1.8666666666666667,0.03888888888888889,4,78
"South Africa","Jan-2024","Canela",57,145.56666666666666,2.5538011695906433,9,96
"South Africa","Jan-2025","Canela",13,0,0,0,28
"South Africa","Jul-2024","Canela",101,0,0,3,195
"South Africa","Jun-2024","Canela",147,4.15,0.028231292517006804,5,196
"South Africa","Mar-2024","Canela",53,125.95,2.3764150943396225,2,82
"South Africa","May-2024","Canela",93,123.98333333333333,1.3331541218637992,8,137
"South Africa","Nov-2024","Canela",26,0,0,0,42
"South Africa","Oct-2024","Canela",50,0,0,0,91
"South Africa","Sep-2024","Canela",78,0,0,0,116
"South Korea","Apr-2024","Canela",55,31.633333333333333,0.5751515151515152,3,281
"South Korea","Aug-2024","Canela",52,0,0,0,241
"South Korea","Dec-2024","Canela",9,0,0,0,125
"South Korea","Feb-2024","Canela",44,80.7,1.8340909090909092,5,303
"South Korea","Jan-2024","Canela",50,12.85,0.257,6,265
"South Korea","Jan-2025","Canela",10,0,0,0,102
"South Korea","Jul-2024","Canela",56,0,0,0,323
