"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Dominican Republic","Nov-2024","Bumper / Promo",2,2.0166666666666666,1.0083333333333333,2,2
"Dominican Republic","Oct-2024","Bumper / Promo",2,0.31666666666666665,0.15833333333333333,2,2
"Dominican Republic","Sep-2024","Bumper / Promo",10,59.266666666666666,5.926666666666667,14,14
"Ecuador","Apr-2024","Bumper / Promo",5,4.416666666666667,0.8833333333333334,6,5
"Ecuador","Aug-2024","Bumper / Promo",4,2.6166666666666667,0.6541666666666667,4,4
"Ecuador","Dec-2024","Bumper / Promo",1,19.15,19.15,2,2
"Ecuador","Feb-2024","Bumper / Promo",32,211.25,6.6015625,135,43
"Ecuador","Jan-2024","Bumper / Promo",43,309.76666666666665,7.203875968992247,235,60
"Ecuador","Jul-2024","Bumper / Promo",6,2.0166666666666666,0.3361111111111111,7,6
"Ecuador","Jun-2024","Bumper / Promo",2,7.75,3.875,2,2
"Ecuador","Mar-2024","Bumper / Promo",41,166.91666666666666,4.071138211382114,135,56
"Ecuador","May-2024","Bumper / Promo",26,71.65,2.755769230769231,33,31
"Ecuador","Nov-2024","Bumper / Promo",2,2.55,1.275,2,2
"Ecuador","Oct-2024","Bumper / Promo",4,15.266666666666667,3.816666666666667,5,5
"Ecuador","Sep-2024","Bumper / Promo",10,24.35,2.435,10,10
"El Salvador","Aug-2024","Bumper / Promo",2,2,1,3,3
"El Salvador","Feb-2024","Bumper / Promo",8,22.266666666666666,2.783333333333333,16,8
"El Salvador","Jan-2024","Bumper / Promo",6,32.55,5.425,43,9
"El Salvador","Jan-2025","Bumper / Promo",1,0.5666666666666667,0.5666666666666667,1,1
"El Salvador","Mar-2024","Bumper / Promo",4,2.5833333333333335,0.6458333333333334,6,4
"El Salvador","May-2024","Bumper / Promo",6,14.233333333333333,2.3722222222222222,6,6
"El Salvador","Nov-2024","Bumper / Promo",4,4.866666666666666,1.2166666666666666,5,5
"El Salvador","Oct-2024","Bumper / Promo",4,4.283333333333333,1.0708333333333333,4,4
"El Salvador","Sep-2024","Bumper / Promo",6,11.6,1.9333333333333333,6,6
"Finland","May-2024","Bumper / Promo",1,2.85,2.85,6,2
"Germany","Apr-2024","Bumper / Promo",1,0,0,1,1
"Germany","May-2024","Bumper / Promo",2,1.7,0.85,2,2
"Guatemala","Apr-2024","Bumper / Promo",2,3.466666666666667,1.7333333333333334,2,2
"Guatemala","Aug-2024","Bumper / Promo",1,7.333333333333333,7.333333333333333,1,1
"Guatemala","Feb-2024","Bumper / Promo",8,22,2.75,31,11
"Guatemala","Jan-2024","Bumper / Promo",11,52.4,4.763636363636364,43,19
"Guatemala","Mar-2024","Bumper / Promo",8,8.6,1.075,14,8
"Guatemala","May-2024","Bumper / Promo",6,5.616666666666666,0.936111111111111,7,6
"Guatemala","Nov-2024","Bumper / Promo",2,2.05,1.025,2,2
"Guatemala","Oct-2024","Bumper / Promo",5,8.4,1.6800000000000002,5,5
"Guatemala","Sep-2024","Bumper / Promo",8,11.5,1.4375,11,10
"Honduras","Feb-2024","Bumper / Promo",6,104.73333333333333,17.455555555555556,68,12
"Honduras","Jan-2024","Bumper / Promo",8,81.18333333333334,10.147916666666667,50,10
"Honduras","Mar-2024","Bumper / Promo",6,6.4,1.0666666666666667,18,10
"Honduras","May-2024","Bumper / Promo",2,12.183333333333334,6.091666666666667,2,2
"Honduras","Nov-2024","Bumper / Promo",1,7.5,7.5,1,1
"Honduras","Oct-2024","Bumper / Promo",5,8.433333333333334,1.6866666666666668,5,5
"Honduras","Sep-2024","Bumper / Promo",3,7.066666666666666,2.3555555555555556,3,3
"India","Mar-2024","Bumper / Promo",2,0.08333333333333333,0.041666666666666664,2,2
"Iran","Apr-2024","Bumper / Promo",1,0.1,0.1,2,2
"Iran","Mar-2024","Bumper / Promo",3,0.5,0.16666666666666666,3,3
"Iran","May-2024","Bumper / Promo",2,1.7833333333333334,0.8916666666666667,2,2
"Iraq","Mar-2024","Bumper / Promo",3,0.3,0.09999999999999999,3,3
"Mexico","Apr-2024","Bumper / Promo",23,19.35,0.841304347826087,26,25
"Mexico","Aug-2024","Bumper / Promo",44,50.7,1.1522727272727273,51,46
"Mexico","Dec-2024","Bumper / Promo",17,50.4,2.9647058823529413,23,21
"Mexico","Feb-2024","Bumper / Promo",627,3179.483333333333,5.0709463051568315,2453,885
"Mexico","Jan-2024","Bumper / Promo",599,3304.483333333333,5.516666666666667,2413,820
"Mexico","Jan-2025","Bumper / Promo",11,44.083333333333336,4.007575757575758,14,14
"Mexico","Jul-2024","Bumper / Promo",51,58.61666666666667,1.149346405228758,59,56
"Mexico","Jun-2024","Bumper / Promo",38,68.21666666666667,1.7951754385964913,60,40
"Mexico","Mar-2024","Bumper / Promo",668,2151.883333333333,3.221382235528942,1851,895
"Mexico","May-2024","Bumper / Promo",472,2199.85,4.660699152542373,544,516
"Mexico","Nov-2024","Bumper / Promo",54,84.93333333333334,1.5728395061728395,59,58
"Mexico","Oct-2024","Bumper / Promo",627,1380.05,2.20103668261563,778,716
"Mexico","Sep-2024","Bumper / Promo",806,1947.8166666666666,2.416645988420182,895,858
"Netherlands","Mar-2024","Bumper / Promo",1,1,1,5,5
"Nicaragua","Feb-2024","Bumper / Promo",4,0.43333333333333335,0.10833333333333334,4,4
"Nicaragua","Jan-2024","Bumper / Promo",2,2.3333333333333335,1.1666666666666667,5,2
"Nicaragua","Mar-2024","Bumper / Promo",2,0.5833333333333334,0.2916666666666667,7,3
"Nicaragua","May-2024","Bumper / Promo",4,4.85,1.2125,5,4
"Nicaragua","Nov-2024","Bumper / Promo",2,1.75,0.875,3,3
"Nicaragua","Oct-2024","Bumper / Promo",5,2.1166666666666667,0.42333333333333334,6,6
"Nicaragua","Sep-2024","Bumper / Promo",2,3.466666666666667,1.7333333333333334,2,2
"Nigeria","Mar-2024","Bumper / Promo",1,0.35,0.35,1,1
"Panama","Aug-2024","Bumper / Promo",1,1,1,1,1
"Panama","Feb-2024","Bumper / Promo",1,0.45,0.45,2,1
"Panama","Jan-2024","Bumper / Promo",3,4.733333333333333,1.5777777777777777,7,5
"Panama","Mar-2024","Bumper / Promo",1,0.5,0.5,1,1
"Panama","Nov-2024","Bumper / Promo",2,1.4166666666666667,0.7083333333333334,2,2
"Panama","Sep-2024","Bumper / Promo",1,3.466666666666667,3.466666666666667,1,1
"Paraguay","Aug-2024","Bumper / Promo",1,1.8333333333333333,1.8333333333333333,1,1
"Paraguay","Dec-2024","Bumper / Promo",1,1.6166666666666667,1.6166666666666667,1,1
"Paraguay","Feb-2024","Bumper / Promo",1,0,0,1,1
"Paraguay","Mar-2024","Bumper / Promo",1,0.6666666666666666,0.6666666666666666,4,3
"Paraguay","May-2024","Bumper / Promo",3,2.35,0.7833333333333333,3,3
"Peru","Apr-2024","Bumper / Promo",4,0.8666666666666667,0.21666666666666667,5,5
"Peru","Aug-2024","Bumper / Promo",5,21.833333333333332,4.366666666666666,5,5
"Peru","Dec-2024","Bumper / Promo",3,2.55,0.85,4,3
"Peru","Feb-2024","Bumper / Promo",27,186.55,6.90925925925926,159,62
"Peru","Jan-2024","Bumper / Promo",60,341.1166666666667,5.685277777777778,268,75
"Peru","Jan-2025","Bumper / Promo",1,3.466666666666667,3.466666666666667,1,1
"Peru","Jul-2024","Bumper / Promo",14,13.633333333333333,0.9738095238095238,14,14
"Peru","Jun-2024","Bumper / Promo",4,3.2333333333333334,0.8083333333333333,4,4
"Peru","Mar-2024","Bumper / Promo",24,29.983333333333334,1.2493055555555557,32,26
"Peru","May-2024","Bumper / Promo",44,73.26666666666667,1.665151515151515,54,51
"Peru","Nov-2024","Bumper / Promo",10,10.133333333333333,1.0133333333333332,11,11
"Peru","Oct-2024","Bumper / Promo",37,157.21666666666667,4.249099099099099,49,43
"Peru","Sep-2024","Bumper / Promo",44,99.26666666666667,2.256060606060606,63,62
"Puerto Rico","Apr-2024","Bumper / Promo",6,4.633333333333334,0.7722222222222223,9,9
"Puerto Rico","Jun-2024","Bumper / Promo",3,3.75,1.25,4,4
"Puerto Rico","Mar-2024","Bumper / Promo",4,1.5333333333333334,0.38333333333333336,5,5
"Puerto Rico","May-2024","Bumper / Promo",16,86.93333333333334,5.433333333333334,20,19
"Puerto Rico","Nov-2024","Bumper / Promo",8,4.633333333333334,0.5791666666666667,10,9
"Puerto Rico","Oct-2024","Bumper / Promo",16,60,3.75,23,22
"Puerto Rico","Sep-2024","Bumper / Promo",10,34.46666666666667,3.4466666666666668,12,12
"Russia","Mar-2024","Bumper / Promo",1,0.1,0.1,2,2
"Spain","Jan-2024","Bumper / Promo",1,0.7833333333333333,0.7833333333333333,2,1
"Spain","Mar-2024","Bumper / Promo",1,0.25,0.25,1,1
"Taiwan","Oct-2024","Bumper / Promo",1,0.7333333333333333,0.7333333333333333,2,1
"U.S. Virgin Islands","Apr-2024","Bumper / Promo",1,0.05,0.05,1,1
"United States","Apr-2024","Bumper / Promo",250,249.98333333333332,0.9999333333333332,275,261
"United States","Aug-2024","Bumper / Promo",3,1.7333333333333334,0.5777777777777778,5,4
"United States","Dec-2024","Bumper / Promo",12,78.93333333333334,6.577777777777778,17,17
"United States","Feb-2024","Bumper / Promo",16,9.3,0.58125,22,17
"United States","Jan-2024","Bumper / Promo",20,20.1,1.0050000000000001,23,21
"United States","Jan-2025","Bumper / Promo",9,23.65,2.6277777777777778,11,11
"United States","Jul-2024","Bumper / Promo",3,12.266666666666667,4.0888888888888895,5,4
"United States","Jun-2024","Bumper / Promo",167,221.01666666666668,1.3234530938123754,192,174
"United States","Mar-2024","Bumper / Promo",106,54.083333333333336,0.5102201257861635,159,123
"United States","May-2024","Bumper / Promo",880,3667.9666666666667,4.168143939393939,1182,1086
"United States","Nov-2024","Bumper / Promo",178,168.71666666666667,0.9478464419475655,226,199
"United States","Oct-2024","Bumper / Promo",677,1493,2.205317577548006,799,749
"United States","Sep-2024","Bumper / Promo",644,2488.616666666667,3.8643115942028987,747,731
"Uruguay","Feb-2024","Bumper / Promo",2,1.8,0.9,4,2
"Uruguay","Jan-2024","Bumper / Promo",1,1.4,1.4,1,1
"Uruguay","Mar-2024","Bumper / Promo",1,7.2,7.2,4,1
