"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Canela","Ecuador","Jun-2023",6010,1463081.5166666666,243.44118413754853,90922,24224
"Canela","El Salvador","Jun-2023",1399,235625.25,168.42405289492496,16983,2697
"Canela","France","Jun-2023",3,7.516666666666667,2.5055555555555555,6,5
"Canela","Germany","Jun-2023",4,52.6,13.15,5,4
"Canela","Greece","Jun-2023",1,92.3,92.3,2,2
"Canela","Guatemala","Jun-2023",1686,186340.68333333332,110.52235073151442,14450,2805
"Canela","Guyana","Jun-2023",5,2.066666666666667,0.4133333333333334,7,5
"Canela","Haiti","Jun-2023",24,23.15,0.9645833333333332,28,18
"Canela","Honduras","Jun-2023",1100,196798.11666666667,178.9073787878788,15600,3857
"Canela","India","Jun-2023",1,0,0,1,1
"Canela","Indonesia","Jun-2023",3,133.58333333333334,44.52777777777778,3,3
"Canela","Iran","Jun-2023",7,2.8,0.39999999999999997,10,10
"Canela","Iraq","Jun-2023",3,1.9,0.6333333333333333,5,5
"Canela","Italy","Jun-2023",1,0,0,1,1
"Canela","Jamaica","Jun-2023",1,0.5833333333333334,0.5833333333333334,1,1
"Canela","Japan","Jun-2023",1,23.7,23.7,3,3
"Canela","Jordan","Jun-2023",1,1.5666666666666667,1.5666666666666667,1,1
"Canela","Lebanon","Jun-2023",1,0.8333333333333334,0.8333333333333334,1,1
"Canela","Malawi","Jun-2023",1,0.06666666666666667,0.06666666666666667,5,1
"Canela","Mauritius","Jun-2023",1,11.7,11.7,3,3
"Canela","Mexico","Jun-2023",155013,17540786.6,113.15687458471226,1656709,252221
"Canela","Morocco","Jun-2023",3,7.633333333333334,2.5444444444444447,3,3
"Canela","Netherlands","Jun-2023",4,85.55,21.3875,6,6
"Canela","Nicaragua","Jun-2023",687,79904.53333333334,116.3093643862203,6991,1897
"Canela","Palestinian Territories","Jun-2023",6,29.066666666666666,4.844444444444444,14,5
"Canela","Panama","Jun-2023",652,97352.93333333333,149.31431492842535,6115,1332
"Canela","Paraguay","Jun-2023",427,66236.91666666667,155.12158469945356,3733,586
"Canela","Peru","Jun-2023",4386,675290.4833333333,153.96499848001216,43594,9160
"Canela","Poland","Jun-2023",1,0.06666666666666667,0.06666666666666667,1,1
"Canela","Puerto Rico","Jun-2023",2845,395404.68333333335,138.98231400117166,35917,11595
"Canela","Saudi Arabia","Jun-2023",1,0,0,2,2
"Canela","Singapore","Jun-2023",1,0,0,1,1
"Canela","Somalia","Jun-2023",1,1.1166666666666667,1.1166666666666667,2,2
"Canela","Spain","Jun-2023",6,144.53333333333333,24.08888888888889,9,8
"Canela","Suriname","Jun-2023",1,0.7,0.7,2,0
"Canela","Switzerland","Jun-2023",1,0,0,1,1
"Canela","Togo","Jun-2023",2,3.4,1.7,2,2
"Canela","U.S. Virgin Islands","Jun-2023",26,8579.583333333334,329.98397435897436,421,135
"Canela","United Kingdom","Jun-2023",5,50.35,10.07,18,18
"Canela","United States","Jun-2023",100460,8188848.616666666,81.51352395646691,835365,135347
"Canela","Uruguay","Jun-2023",609,116065.48333333334,190.5837164750958,6702,1873
"Canela","Venezuela","Jun-2023",9005,1627049.4833333334,180.68289653895985,147492,30265
"Canela","Algeria","Jun-2024",4,2.15,0.5375,4,4
"Canela","Argentina","Jun-2024",11551,3815660.3,330.33159899575793,162824,57665
"Canela","Austria","Jun-2024",1,152.61666666666667,152.61666666666667,6,5
"Canela","Bangladesh","Jun-2024",1,1.9833333333333334,1.9833333333333334,2,2
"Canela","Belize","Jun-2024",129,61165.28333333333,474.14948320413436,3410,1378
"Canela","Bolivia","Jun-2024",5171,1346460.9166666667,260.386949655128,52644,19488
"Canela","Brazil","Jun-2024",880,165934.03333333333,188.56140151515152,7758,4457
"Canela","Burkina Faso","Jun-2024",1,0,0,1,1
"Canela","Cameroon","Jun-2024",1,0,0,1,1
"Canela","Canada","Jun-2024",102,3574.266666666667,35.04183006535948,240,147
"Canela","Cape Verde","Jun-2024",1,182.43333333333334,182.43333333333334,3,2
"Canela","Chad","Jun-2024",2,22.883333333333333,11.441666666666666,8,8
"Canela","Chile","Jun-2024",10083,2142451.816666667,212.4815845151906,98938,34148
"Canela","Colombia","Jun-2024",139808,21251920.833333332,152.00790250438695,1425011,336017
"Canela","Congo - Brazzaville","Jun-2024",2,1.4333333333333333,0.7166666666666667,2,2
"Canela","Costa Rica","Jun-2024",1978,494844.8333333333,250.17433434445567,27062,6834
"Canela","Croatia","Jun-2024",1,4348.583333333333,4348.583333333333,144,108
"Canela","Cuba","Jun-2024",1099,18422.566666666666,16.763026994237183,5614,1278
"Canela","Czech Republic","Jun-2024",1,48.516666666666666,48.516666666666666,1,1
"Canela","Dominican Republic","Jun-2024",7538,1759749.5666666667,233.45045989210223,100561,41563
"Canela","Ecuador","Jun-2024",12242,3927621.1,320.83165332462016,168416,64197
"Canela","Egypt","Jun-2024",1,1.85,1.85,3,3
"Canela","El Salvador","Jun-2024",2600,797869.45,306.87286538461535,39822,11136
"Canela","Finland","Jun-2024",1,0.5166666666666667,0.5166666666666667,1,0
"Canela","France","Jun-2024",3,221,73.66666666666667,5,5
"Canela","Gabon","Jun-2024",1,46.083333333333336,46.083333333333336,1,1
"Canela","Germany","Jun-2024",16,91.91666666666667,5.744791666666667,23,22
"Canela","Ghana","Jun-2024",2,0.75,0.375,2,1
"Canela","Guatemala","Jun-2024",4120,766878.5166666667,186.13556229773465,39678,13383
"Canela","Guyana","Jun-2024",4,3.0833333333333335,0.7708333333333334,4,2
"Canela","Haiti","Jun-2024",1,0.5,0.5,3,3
"Canela","Honduras","Jun-2024",2401,518053.11666666664,215.76556295987783,29082,10741
"Canela","India","Jun-2024",1,74.96666666666667,74.96666666666667,2,2
"Canela","Indonesia","Jun-2024",1,8,8,1,1
"Canela","Iran","Jun-2024",61,520.6333333333333,8.53497267759563,142,140
"Canela","Iraq","Jun-2024",1,1.4833333333333334,1.4833333333333334,1,1
"Canela","Ireland","Jun-2024",1,0.3,0.3,1,1
"Canela","Italy","Jun-2024",1,0,0,3,3
"Canela","Japan","Jun-2024",1,89.25,89.25,3,3
"Canela","Mexico","Jun-2024",174344,26104874.066666666,149.7319900120834,1985559,351359
"Canela","Moldova","Jun-2024",1,0.35,0.35,2,1
"Canela","Netherlands","Jun-2024",5,169.93333333333334,33.986666666666665,8,8
"Canela","Nicaragua","Jun-2024",1184,241468.91666666666,203.94334177927928,13742,3346
"Canela","Pakistan","Jun-2024",1,30,30,2,2
"Canela","Panama","Jun-2024",1956,563353.0333333333,288.01279822767555,20177,10508
"Canela","Papua New Guinea","Jun-2024",1,23.883333333333333,23.883333333333333,1,1
"Canela","Paraguay","Jun-2024",1066,274165.2,257.1906191369606,11026,5444
"Canela","Peru","Jun-2024",50899,7639727.2,150.09582113597517,403993,112145
"Canela","Puerto Rico","Jun-2024",4961,900914.0833333334,181.5992911375395,76702,29600
"Canela","Russia","Jun-2024",2,38.85,19.425,3,3
"Canela","Saudi Arabia","Jun-2024",1,40.56666666666667,40.56666666666667,1,1
"Canela","Senegal","Jun-2024",1,0,0,1,1
"Canela","Serbia","Jun-2024",1,0.26666666666666666,0.26666666666666666,2,1
"Canela","Singapore","Jun-2024",2,0,0,5,5
"Canela","Sint Maarten","Jun-2024",1,0,0,2,2
